id,name,username,location,description,followers_count,friends_count,listed_count,date_joined,favourites_count,time_zone,verified,statuses_count,language,current_following,follow_request_sent
1487387344554668040,Letisha Duffield 🏪 😔,DuffieldLetisha,,,180,3,0,Sat Jan 29 11:29:12 +0000 2022,0,,False,9060,,False,False
1487390520557064195,Natacha,Natacha94846986,,,165,3,0,Sat Jan 29 11:41:50 +0000 2022,0,,False,8931,,False,False
1397921582119485446,acii ⑅ free tag,scentcd,turn off my rt ♡,GA hunter 🍀 • rt terus sampe bigwin 🦋🧚‍♀️✨,197,644,1,Thu May 27 14:24:33 +0000 2021,5184,,False,19544,,False,False
1458439631624605706,TreeSlothMoss,treeslothmoss1,"Indiana, USA",SAC#5548 GA#3692 funky flies#2938 the wanderings#159 crypto hippo#3614,1236,2663,8,Wed Nov 10 14:21:48 +0000 2021,19504,,False,27713,,False,False
1496319704352309250,Justwanttowin,Justwanttowin1,,"#razorgang
#Blindvfxlegit
#LyonKingLegit",50,470,1,Wed Feb 23 03:03:25 +0000 2022,2559,,False,3728,,False,False
1440545173688111107,bigwin | free tag⭐,rllywantbigwin,,acc @i1365244_  just for fangirling and everything related to fangirling,125,261,0,Wed Sep 22 05:15:27 +0000 2021,315,,False,908,,False,False
1295227177861107712,Univale7,Univale7,Ireland,"NFT's, P2E Gaming, Metaverse & T/A.
Engineering by Light, Degening by Night
(NIFTY NUGGET STAFF) (PIXELDAO - D/H) (CRYPTO MONKZ) (AWAKENED) (TOF) (MERRY MODZ)",27,784,6,Mon Aug 17 05:14:31 +0000 2020,0,,False,882,,False,False
1279480378198278144,DiGiPoPs,digipoppa,"New York, NY",#NFTartist . Digital media visual artist & animator.  Prolific. Abstract. Unique. Surreal. Weird. Trippy. 1/1 artist.,387,367,7,Sat Jul 04 18:21:25 +0000 2020,2580,,False,4737,,False,False
2440774214,jhedrixz,jhedrixz,,,68,983,4,Sun Apr 13 00:30:42 +0000 2014,1791,,False,3078,,False,False
1487385523371057154,Noma 😩 😘,Noma52746741,,,151,3,0,Sat Jan 29 11:21:58 +0000 2022,0,,False,8924,,False,False
1428613725930463234,P_Grindingway,Nitpat2,,"P's only Twitter

Weird nfts 
https://t.co/UYakKGQ2ZH",11,120,4,Fri Aug 20 07:03:57 +0000 2021,154,,False,163,,False,False
1248704857592270848,KatMajere1,KatMajere1,CANADA,"NFT lover, here for fun & chillin l #afterorder NIX ID #32 , #MCV #7834 , moonofmarsnft #renegade #22 , #OGWeed #823",39,792,9,Fri Apr 10 20:10:23 +0000 2020,5,,False,907,,False,False
1333416802983026692,Pietrooox,pietrooox,,| 100$ unofficial earnings | 🇵🇱 | 14yo | Use Code Pietrox | can trade bundles,151,2237,0,Mon Nov 30 14:25:19 +0000 2020,3921,,False,7678,,False,False
1493086864039104512,Nanaa🌟,meplusluck,Indonesia,"Reborn of @nanaawinns (deactive) || not multi acc, please don't reroll || #cutetesty #XenosLegit #testibunaR #testiar",96,3373,1,Mon Feb 14 04:57:13 +0000 2022,3226,,False,18722,,False,False
1368684008574443520,Pan Papiezzz,PanPapiezzz,supply and grow up,yooo wasssssup? • #papiezlegit • #L2GTAfam •alt @PanPapiezzzXD• code TETHEGAMER #ad,1204,1454,2,Sun Mar 07 22:04:41 +0000 2021,14933,,False,17252,,False,False
1418020676900847618,2022PickMe🌟🍒,pengenwin1,,"Bismillah YaAllah semoga BigWin 

#CBlove❤️

@CryptoArch1tect 
#JayCryptoLegit",57,2018,4,Thu Jul 22 01:31:51 +0000 2021,4051,,False,7020,,False,False
1436504264365391872,miw ʚɞ,sungwonlogy,Indonesia,your dreams are excited to meet you too.,230,535,0,Sat Sep 11 01:38:20 +0000 2021,1224,,False,1416,,False,False
1429256393123680260,Shanti,Shanti26151485,,NFT investor,0,0,0,Sun Aug 22 01:37:47 +0000 2021,0,,False,2,,False,False
1464258451954098186,CryptOG🤘 {313},HCOGcrypto,Metaverse,"Father, husband, evil corporate guy. 
Sometimes toxic, always a degen.
Bags full of $ETH $DOT $SOL $ENJ $RMRK and JPGs.",1493,3202,14,Fri Nov 26 15:44:22 +0000 2021,9852,,False,7507,,False,False
3241733347,devlin213,devlin505,Colorado,"Hard working driver,  driven by a quest for knowledge, and peace.",453,611,2,Wed Jun 10 21:21:06 +0000 2015,28104,,False,75528,,False,False
1429307732138643460,Marietta,Mariett39540014,,NFT investor,0,0,0,Sun Aug 22 05:01:47 +0000 2021,0,,False,2,,False,False
1287732270288183296,Stacey Long,StaceyL68061934,,21y // she-her // Italy // @bellahadid is my idol,10,194,0,Mon Jul 27 12:51:58 +0000 2020,147,,False,222,,False,False
1498952531934089217,Coco Rebels Squad (CRS),cocorebelsquad,,"🎮 Discord:  https://t.co/1yJNGwuhW0
📸 Instagram: https://t.co/LzAehcTGAG",124,303,0,Wed Mar 02 09:25:18 +0000 2022,186,,False,302,,False,False
1425100141145600001,Brenna,Brenna06026240,,NFT Holder,0,0,0,Tue Aug 10 14:22:19 +0000 2021,0,,False,3,,False,False
1395347570763862016,Yko |TeamSatay|DLS🍬,YkoAbada,Republic of the Philippines,"#19 | TeamSatay |
Fil-Am ~ Half Filipino Half Amazing 🇵🇭",299,1172,5,Thu May 20 11:56:13 +0000 2021,12465,,False,6689,,False,False
1491965335263760385,EverRise Man,EverriseMan,,#EverRise Enthusiast,288,800,1,Fri Feb 11 02:40:38 +0000 2022,14148,,False,19967,,False,False
1496209133275873281,Penelope Bach,BethSma70418144,Salt Lake City,I LIKE FLOW,2,46,0,Tue Feb 22 19:44:12 +0000 2022,29,,False,29,,False,False
1488912719407300608,hope_cured,hope_cured,,"Life day by day that body has being sick until nowdays.
if my nft is sold, the income will be used for the treatment of my tongue disease",35,313,0,Wed Feb 02 16:31:01 +0000 2022,479,,False,1373,,False,False
1420475601966620674,kame.coin,CoinKame,Kame House,"Passionate about Web 3.0, metaverses, ADA and CNFT communities. Fitness freak, martial artist, hoop head, anime nerd 🇨🇦",345,1424,12,Wed Jul 28 20:05:58 +0000 2021,4773,,False,3347,,False,False
1424834061894262784,Bonnie,Bonnie40364676,,Crypto investor,0,0,0,Mon Aug 09 20:44:59 +0000 2021,0,,False,2,,False,False
1715054341, nazmi2012,Khalidaumaya85,,"Wherever you are in life, the future is bright.",5,121,2,Sat Aug 31 08:16:46 +0000 2013,78,,False,100,,False,False
1466933451714670599,Sneakerrz,SneakerrzNFT,"Denver, CO",Owner of Sneak’s Alpha Lounge and creator of https://t.co/VvLLtqmsgV. Helping others in the NFT space be successful.,696,230,10,Sat Dec 04 00:53:06 +0000 2021,1443,,False,1084,,False,False
1308579617259700224,mingming,taerrybeom,,"🕯️🕯️
🕯️🕯️ manifesting first win 🕯️🕯️
🕯️🕯️",78,177,0,Wed Sep 23 01:31:32 +0000 2020,217,,False,353,,False,False
1442136883111206912,Renato Rener,RenatoRener1,Slovenija,"#NFTPromotion #NFTPromo
#NFTGiveaway #NFT #NFTGiveaways

#FreeNFT #FreeNFTs #NFTs

#NFTDrops #NFTShill 

Want 2 promote? Contact me.

$ETH $SOL $AVAX $ADA $XTZ",981,4932,36,Sun Sep 26 14:40:40 +0000 2021,22540,,False,40146,,False,False
131231163,Demiva Tiak,Ra1969An,,"My wallet adress 0x969c7A9464B4343d7e69D94a4c0d767D7A891E4A
https://t.co/JEtcKS8opX
#SUPERFAMILY",475,5000,20,Fri Apr 09 17:27:38 +0000 2010,10591,,False,24076,,False,False
1443346577729343489,alohawithus,alohawithus,,Kangen💧Ohana • Hawaii is Home🌴• NFTs😍 @whitesandsgame,179,578,6,Wed Sep 29 22:47:04 +0000 2021,1354,,False,118,,False,False
1472760026070601730,tony,Tonnyy_nft,,Don’t be late!,103,340,8,Mon Dec 20 02:45:34 +0000 2021,2823,,False,1155,,False,False
1502304194287525898,OVER-SABI BLAQ-BOI⚫,blaq_marthew,"Owerri, Imo State",That blaq boi wey dey GROW📊⬆️,15,125,0,Fri Mar 11 15:24:08 +0000 2022,628,,False,152,,False,False
1114879875238600704,viapastiwin,via43190528,"Bandung, Indonesia",bismillah..2 #sobatgarangan  #IwonHanabi #AP8testi 2 #TYstiph  #sofialegit #Xhalamat #cryptoexplorer #ILYAngeLQueeN  #KimiLegitt #Kingfamily➡️soon,220,4980,4,Sun Apr 07 13:17:30 +0000 2019,15989,,False,39846,,False,False
1429335109589737479,Salena,Salena11689353,,NFT Holder,0,0,0,Sun Aug 22 06:50:35 +0000 2021,0,,False,2,,False,False
349450362,Hortonhearzawh0,PA_9322,Psychedelic Universe,Psychedelics Anonymous Genesis #9322 EDM / NFT's / Investing / Crypto / Gambling / Sports,3784,2817,11,Sat Aug 06 03:38:16 +0000 2011,7887,,False,2416,,False,False
1106488400155017216,adleeaa,caramellmilky,,bigwin,2449,4832,5,Fri Mar 15 09:32:46 +0000 2019,12586,,False,40585,,False,False
1498522464602574850,PPAP NFT,NftPpap,"Sumatera Selatan, Indonesia",#NFT Promoter. #ETH #Solana #NFT #digitalart,25,352,0,Tue Mar 01 04:56:32 +0000 2022,26,,False,61,,False,False
198292490,cj,calebj15,,a target for all kinds of misadventures,91,799,2,Sun Oct 03 22:13:31 +0000 2010,23647,,False,4112,,False,False
1246250650960384001,Roombe5,Roombe5,MARS,"#NFTCollector | #NFTGiveaway | #NFTpromoter | #BSC #ETH #Solana #Cardano|Yangın Authentic NFT Interest Following Yangın
 Promoter | $Floki #Floki RoketDolunay s",37,788,5,Sat Apr 04 01:38:27 +0000 2020,6,,False,902,,False,False
1448109480936304640,_iwiin,h1jackpott,"Riau, Indonesia",AKUN REAL,56,1734,1,Wed Oct 13 02:13:13 +0000 2021,7426,,False,7140,,False,False
1251586678151680000,NoteRose7,NoteRose7,London,"paying to right-click + save as
Crypto Cub #42
@DinosChibi
 for life",27,789,6,Sat Apr 18 19:01:46 +0000 2020,5,,False,902,,False,False
1486449467712806922,euvso228,euvso228,,,0,22,0,Wed Jan 26 21:22:41 +0000 2022,19,,False,32,,False,False
1500334077580173313,Bert Bronte,Shannon13826439,Baton Rouge,🚀 Follow us for Female-led NFT communities!!!! 🚀🌙 🎉Female-Led NFT Promoter 🎉 🔥🔥 Female-led,7,26,0,Sun Mar 06 04:55:16 +0000 2022,13,,False,13,,False,False
47282210,Fergue,RiyanGunawan,,"Joined crypto in Dec 2021 then Bearish, switch to NFT, rugpulled. DYOR no point with no knowledge. Following more to learn more. Hope to reach financial freedom",125,802,8,Mon Jun 15 07:10:34 +0000 2009,2751,,False,4271,,False,False
